               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11163,            0.020938,                   0,           0.0053996,            0.018939,          0.00095309,          0.00022683,            0.084071,            0.020084,                   0,             0.00076,             0.00076,             0.09316
                   1,            0.073409,            0.019538,                   0,              0.4696,             0.45455,             0.35732,            0.095916,            0.058558,            0.016428,                   0,             0.00153,             0.00153,             0.08623
                   2,            0.066657,            0.013326,                   0,             0.50544,             0.55303,             0.44152,             0.10583,            0.053827,            0.013022,                   0,           0.0022998,           0.0022998,              0.0793
                   3,             0.06148,            0.011688,                   0,             0.69448,             0.61133,             0.60884,             0.21313,            0.051398,            0.012329,                   0,           0.0030693,           0.0030693,            0.072369
                   4,            0.056851,            0.011423,                   0,             0.76016,             0.68561,             0.71545,             0.24081,            0.046029,            0.011732,                   0,           0.0038385,           0.0038385,            0.065438
                   5,            0.053216,            0.010062,                   0,             0.87592,             0.72348,             0.80606,             0.31168,             0.04463,            0.010622,                   0,           0.0046072,           0.0046072,            0.058507
                   6,            0.055167,           0.0098164,                   0,             0.83119,             0.76466,             0.80678,             0.31934,            0.045482,            0.010665,                   0,           0.0053752,           0.0053752,            0.051575
                   7,             0.05415,           0.0094136,                   0,             0.72421,             0.74599,             0.70944,             0.28361,            0.048421,           0.0099625,                   0,           0.0061426,           0.0061426,            0.044643
                   8,            0.052969,           0.0091868,                   0,             0.83934,             0.69318,             0.75298,             0.29544,             0.04375,            0.010645,                   0,           0.0069091,           0.0069091,            0.037709
                   9,             0.05142,           0.0089113,                   0,             0.87409,             0.73864,             0.80761,              0.3427,            0.041889,           0.0092437,                   0,           0.0076746,           0.0076746,            0.030775
                  10,            0.052819,           0.0082746,                   0,             0.89287,             0.76136,             0.82153,             0.28849,            0.045862,           0.0084796,                   0,           0.0084391,           0.0084391,            0.023839
                  11,            0.051581,           0.0084454,                   0,             0.82986,             0.77595,             0.85836,              0.3375,            0.044869,           0.0087065,                   0,           0.0092025,           0.0092025,            0.016902
                  12,            0.049894,           0.0081235,                   0,             0.85704,             0.75758,             0.80426,             0.34358,            0.041155,           0.0092032,                   0,           0.0099645,           0.0099645,           0.0099645
                  13,            0.049259,           0.0075601,                   0,             0.87439,             0.79167,             0.84463,             0.38164,            0.040373,           0.0078291,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.048639,           0.0077475,                   0,             0.83233,             0.77273,              0.8234,             0.33924,            0.041734,           0.0078304,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.046398,           0.0071988,                   0,              0.7482,             0.79911,             0.76075,             0.34164,            0.040004,           0.0085797,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.044583,           0.0074064,                   0,             0.86962,             0.70833,             0.81147,             0.33458,            0.037912,           0.0077615,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.042585,           0.0071337,                   0,               0.786,              0.7803,             0.81269,             0.34477,            0.039126,           0.0083071,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.041569,           0.0068798,                   0,             0.84371,             0.81796,             0.86296,             0.40918,            0.037116,           0.0072488,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.042177,           0.0067115,                   0,             0.85052,             0.84091,             0.88596,             0.41339,            0.036637,           0.0076711,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.041889,           0.0066721,                   0,             0.83691,             0.73862,             0.81084,             0.34557,            0.036738,           0.0075444,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.041516,           0.0068818,                   0,             0.93602,             0.77589,             0.85877,             0.41787,            0.037873,           0.0070566,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.040376,           0.0066685,                   0,             0.91461,             0.85203,             0.90194,             0.42329,            0.036679,           0.0069316,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.039738,           0.0068146,                   0,             0.90209,              0.8027,             0.87141,             0.39682,            0.037606,           0.0070092,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.038583,           0.0066488,                   0,             0.92452,             0.92795,             0.94544,             0.45047,            0.034023,           0.0065684,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.038443,           0.0064045,                   0,             0.92856,             0.83698,             0.88482,             0.41282,            0.034904,           0.0069555,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.037704,           0.0063432,                   0,             0.92062,             0.89015,              0.9254,             0.42727,            0.034539,           0.0065778,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.038076,            0.006468,                   0,             0.91199,             0.86742,             0.90689,             0.43512,            0.034993,           0.0065153,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,            0.038381,           0.0063701,                   0,             0.92632,             0.90488,             0.92898,             0.46447,            0.038703,           0.0064908,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.037549,           0.0062407,                   0,             0.90215,             0.90797,             0.91492,             0.44463,            0.033072,           0.0067091,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.036874,           0.0061855,                   0,             0.87405,             0.92045,             0.90343,             0.40515,            0.037705,           0.0065523,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.036199,           0.0064613,                   0,             0.89666,             0.92045,             0.92689,             0.44245,            0.035307,           0.0064321,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.037695,           0.0061492,                   0,             0.89496,              0.9053,             0.91745,             0.44703,            0.036219,           0.0063928,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.035458,           0.0062371,                   0,             0.91012,             0.88221,             0.91436,             0.44128,            0.032489,           0.0069593,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.035715,           0.0060938,                   0,              0.8701,             0.76118,             0.77919,             0.34715,            0.039872,           0.0069513,                   0,            0.009734,            0.009734,            0.009734
                  35,            0.035389,           0.0061383,                   0,             0.91142,             0.89773,             0.92108,             0.47345,            0.032586,           0.0063494,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,            0.035749,           0.0061945,                   0,             0.87849,             0.93182,             0.92903,             0.45267,            0.034419,           0.0061553,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,             0.03645,           0.0061652,                   0,             0.90667,             0.91999,             0.93326,             0.45525,            0.032781,           0.0063062,                   0,            0.009684,            0.009684,            0.009684
                  38,             0.03488,           0.0058201,                   0,              0.9141,             0.92803,             0.95482,             0.47438,             0.03218,           0.0064299,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.035793,           0.0064816,                   0,              0.9347,             0.92424,             0.94871,             0.48311,            0.033354,           0.0061651,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.035641,           0.0060205,                   0,             0.93191,             0.94318,             0.96148,             0.47513,             0.03192,            0.006169,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.035496,           0.0062825,                   0,             0.90624,             0.87872,             0.90766,              0.4298,            0.031393,           0.0068016,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.033456,           0.0058016,                   0,             0.93846,             0.92424,             0.95248,             0.48966,            0.030069,           0.0061494,                   0,           0.0095916,           0.0095916,           0.0095916
